time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD-Q_Cout,CBZ_Cout,BTZ_Cout,SFX_Cout,FIP_Cout,HMMM_Cout,CAFF_Cout,Bromide_Min
8532.5,7.891194820896252e-06,7.891194820896252e-06,21.481559404663617,21.481559404663617,21.481559404663617,7.002028644668913,7.002028644668913,637.9261536927526,5.149612065155663,3534499954.8656707,0,0,74,1,0.029256483244005555,0.02237473004914214,0.014268058602242166,0.045854262729908335,0.003988571455019359,0.03788118018143467,0.003310175187005265,0.01819858416325796,0.0
8533.0,7.900878834578794e-06,7.900878834578794e-06,21.48067981147312,21.48067981147312,21.48067981147312,6.999588472785301,6.999588472785301,637.8027622029754,5.152800516804559,3535258721.37276,0,0,74,1,0.029194289173143987,0.02218347201634243,0.013942211583398215,0.04591089521465691,0.004012466231319167,0.03788455830665474,0.003303091556160831,0.017851486251880714,0.0
8533.5,7.91044380012888e-06,7.91044380012888e-06,21.47980165697328,21.47980165697328,21.47980165697328,6.997142805291039,6.997142805291039,637.6785568885784,5.156005712160667,3536017596.4638486,0,0,74,1,0.02913207259895368,0.021993337015734873,0.013618277878659418,0.045966819061222464,0.0040361814478600665,0.037887883833931296,0.003296049519101292,0.017506426435963295,0.0
8534.0,7.91988931126109e-06,7.91988931126109e-06,21.478924946628954,21.478924946628954,21.478924946628954,6.994691709832754,6.994691709832754,637.5535405746235,5.15922750992688,3536776580.1467066,0,0,74,1,0.029069839033407697,0.021804367425892757,0.013296329688558029,0.046022032241613296,0.004059712908116903,0.03789115693118627,0.003289050645403436,0.017163481624768342,0.0
8534.5,7.929214961690012e-06,7.929214961690012e-06,21.478049685905003,21.478049685905003,21.478049685905003,6.992235254057065,6.992235254057065,637.4277160861726,5.162465768806088,3537535672.4291024,0,0,74,1,0.029007593988479102,0.02161660562538937,0.012976439213626331,0.046076532727837724,0.004083056415564522,0.037894377766341615,0.003282096504644051,0.016822728727558488,0.0
8535.0,7.938420345130234e-06,7.938420345130234e-06,21.47717588026629,21.47717588026629,21.47717588026629,6.9897735056105965,6.9897735056105965,637.3010862482873,5.165720347501187,3538294873.3188043,0,0,74,1,0.028945342976140962,0.021430093992797994,0.012658678654396589,0.04613031849190404,0.004106207773677768,0.03789754650731927,0.0032751886663999258,0.016484244653596363,0.0
8535.5,7.947505055296339e-06,7.947505055296339e-06,21.47630353517769,21.47630353517769,21.47630353517769,6.987306532139972,6.987306532139972,637.1736538860297,5.16899110471507,3539054182.823582,0,0,74,1,0.028883091508366335,0.02124487490669193,0.012343120211401066,0.046183387505820545,0.00412916278593149,0.037900663322041166,0.0032683287002478493,0.016148106312144615,0.0
8536.0,7.956468685902913e-06,7.956468685902913e-06,21.47543265610405,21.47543265610405,21.47543265610405,6.984834401291812,6.984834401291812,637.0454218244613,5.172277899150627,3539813600.9512043,0,0,74,1,0.0288208450971283,0.021060990745644458,0.012029836085172031,0.04623573774159555,0.004151917255800531,0.03790372837842926,0.00326151817576461,0.01581439061246587,0.0
8536.5,7.965310830664543e-06,7.965310830664543e-06,21.474563248510236,21.474563248510236,21.474563248510236,6.982357180712743,6.982357180712743,636.9163928886443,5.175580589510751,3540573127.70944,0,0,74,1,0.02875860925439992,0.020878483888228865,0.011718898476241777,0.04628736717123734,0.004174466986759737,0.037906741844405484,0.003254758662526995,0.01548317446382276,0.0
8537.0,7.974031083295812e-06,7.974031083295812e-06,21.473695317861118,21.473695317861118,21.473695317861118,6.9798749380493845,6.9798749380493845,636.7865699036402,5.178899034498338,3541332763.1060586,0,0,74,1,0.028696389492154258,0.020697396713018446,0.011410379585142537,0.046338273766754236,0.004196807782283955,0.03790970388789178,0.003248051730111795,0.015154534775477926,0.0
